,open,high,low,close,volume,close_change,return,previous_return,close_executed,close_executed_fixed,close_executed_differential,investment_value,investment_return_dollar,investment_return, investment_return_fixed ,crypto_fees,investment_return_adjusted
2024-01-01 16:15:00+00:00,42877.4125,42877.4125,42861.749,42861.8575,0,48.08649999999761,0.001123155,3.0271550523597313e-05,0,0,0,1008,0,0.000993049, 0.00099 , ,   
2024-01-01 16:30:00+00:00,42733.465,42733.465,42733.465,42733.465,0,-128.3925,-0.002995495,0.001123155,0,0,0,1005,0,-0.00297619, (0.00298), ,   
2024-01-01 16:45:00+00:00,42803.2,42803.2,42783.3,42788.245,2.3498e-05,54.78000000000611,0.001281899,-0.002995495,0,0,0,1006,0,0.000995025, 0.00100 , ,   
2024-01-01 17:00:00+00:00,42770.01,42770.01,42762.0845,42762.0845,0.000229224,-26.1605,-0.000611395,0.001281899,0,0,0,1006,0,0, -   , ,   
2024-01-01 17:15:00+00:00,42783.3084,42783.3084,42783.3084,42783.3084,0,21.223900000004505,0.000496325,-0.000611395,0,0,0,1006,0,0, -   , ,   
2024-01-01 17:30:00+00:00,42745.345571428574,42747.76964285714,42745.345571428574,42747.76964285714,2.5472857142857142e-05,-35.53875714,-0.000830669,0.000496325,0,0,0,1005,0,-0.000994036, (0.00099), ,   
2024-01-01 17:45:00+00:00,42747.75,42760.5505,42747.75,42760.5505,0,12.780857142854074,0.000298983,-0.000830669,0,0,0,1006,0,0.000995025, 0.00100 , ,   
2024-01-01 18:00:00+00:00,42835.375,42835.375,42835.375,42835.375,0,74.82450000000244,0.001749849,0.000298983,0,0,0,1007,0,0.000994036, 0.00099 , ,   
2024-01-01 18:15:00+00:00,43147.007,43216.1835,43147.007,43200.7685,0,365.3934999999983,0.008530181,0.001749849,0,0,0,1016,0,0.008937438, 0.00894 , ,   
2024-01-01 18:30:00+00:00,43078.354,43103.156,43078.354,43103.156,0,-97.6125,-0.002259508,0.008530181,0,0,0,1014,0,-0.001968504, (0.00197), ,   
2024-01-01 18:45:00+00:00,43176.4135,43188.6265,43176.4135,43188.6265,0,85.47049999999581,0.001982929,-0.002259508,0,0,0,1016,0,0.001972387, 0.00197 , ,   
2024-01-01 19:00:00+00:00,43138.755,43138.755,43138.755,43138.755,0,-49.8715,-0.001154737,0.001982929,0,0,0,1015,0,-0.000984252, (0.00098), ,   
2024-01-01 19:15:00+00:00,43212.558,43212.558,43189.225,43189.225,0,50.470000000001164,0.001169946,-0.001154737,0,0,0,1016,0,0.000985222, 0.00099 , ,   
